turn_idx_global,file,prune_strategy,n_root_moves,pruned_root,tree_roots,original_move,original_coord,new_move,new_coord,move_changed,new_move_was_in_remaining_roots
0,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,3,"1,4","1,4|2,4|0,4",m 1 4,"1,4",m 1 4,"1,4",0,0
1,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,7,"2,5","1,3|1,5|2,4|3,4|2,3|2,5|0,5",m 2 5,"2,5",m 2 4,"2,4",1,1
2,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,10,"0,3","3,6|0,3|2,4|1,5|2,6|1,3|2,3|3,5|3,4|0,5",m 0 3,"0,3",m 0 3,"0,3",0,0
3,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,7,"0,2","0,5|0,2|3,6|3,4|1,5|1,3|2,4",m 0 2,"0,2",m 0 2,"0,2",0,0
4,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,4,"0,6","3,6|0,6|1,3|3,5",m 0 6,"0,6",m 0 6,"0,6",0,0
5,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,13,"2,3","3,6|3,5|3,4|1,5|3,3|0,1|3,2|0,7|0,0|1,6|2,4|1,2|2,3",m 2 3,"2,3",m 2 3,"2,3",0,0
6,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,7,"2,4","3,2|2,4|2,1|0,7|0,8|1,5|3,3",m 2 4,"2,4",m 2 4,"2,4",0,0
7,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,15,"3,4","3,4|3,6|1,5|3,5|3,3|3,2|3,0|0,1|0,7|0,0|1,6|2,7|2,1|3,7|1,0",m 3 4,"3,4",m 3 4,"3,4",0,0
8,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,12,"1,6","3,3|3,2|3,5|3,6|1,7|2,7|1,6|0,7|3,0|0,0|1,0|2,0",m 1 6,"1,6",m 1 6,"1,6",0,0
9,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,3,"1,4","0,4|1,4|2,4",m 1 4,"1,4",m 1 4,"1,4",0,0
